"ID","NAME","PRECISE_NAME","LAYER","STATE","COUNTRY"
162143,"athens","athens","micro","IL","US"
260997,"athens","athens","micro","TN","US"
206239,"athens","greater athens","micro","PA","US"
206237,"athens","athens","micro","PA","US"
307473,"athens","greater athens","micro","ME","US"
262490,"athens","greater athens","micro","NY","US"
262488,"athens","athens","micro","NY","US"
302902,"athens","athens","macro","OH","US"
162145,"athens","greater athens","micro","IL","US"
307553,"athens","athens","micro","ME","US"
2272,"athens","athens county","county","OH","US"
232827,"athens","athens","micro","PA","US"
200059,"athens","athens","micro","TX","US"
302867,"athens far east side","athens far east side","micro","OH","US"
302861,"athens near north side","athens near north side","micro","OH","US"
162196,"athens north","athens north","macro","IL","US"
162182,"athens south","athens south","macro","IL","US"
162146,"athens south","athens south","micro","IL","US"
354128,"athensville","greater athensville","micro","IL","US"
354127,"athensville","athensville","micro","IL","US"
188382,"atherton","atherton","micro","CA","US"
181036,"athmar park","athmar park","micro","CO","US"
128529,"athol","athol town","superm","MA","US"
128336,"athol","greater athol","micro","MA","US"
128471,"athol","athol town","macro","MA","US"
128318,"athol","athol","micro","MA","US"
200269,"atkins","atkins","micro","TX","US"
347231,"atkins park","atkins park","micro","GA","US"
341019,"atkinson","atkinson","micro","IL","US"
341023,"atkinson","greater atkinson","micro","IL","US"
307828,"atkinson","atkinson","micro","ME","US"
1157,"atkinson","atkinson county","county","GA","US"
234541,"atkinson mills","atkinson mills","micro","PA","US"
234562,"atkinson mills","greater atkinson mills","micro","PA","US"
161169,"atlanta","atlanta","micro","IL","US"
161174,"atlanta","greater atlanta","micro","IL","US"
199352,"atlanta","greater atlanta","micro","TX","US"
179036,"atlanta","atlanta township","macro","IL","US"
199340,"atlanta","atlanta","micro","TX","US"
342299,"atlanta","atlanta","superm","GA","US"
343006,"atlanta","atlanta","micro","NY","US"
339630,"atlanta country club","atlanta country club","micro","GA","US"
347270,"atlanta industrial park","atlanta industrial park","micro","GA","US"
347130,"atlanta memorial park","atlanta memorial park","micro","GA","US"
347241,"atlanta university center","atlanta university center","micro","GA","US"
497,"atlantic","atlantic county","county","NJ","US"
183741,"atlantic","atlantic","micro","WA","US"
232875,"atlantic","atlantic","micro","PA","US"
240118,"atlantic","greater atlantic","micro","NC","US"
240146,"atlantic","atlantic","micro","NC","US"
188055,"atlantic beach","atlantic beach","micro","NY","US"
240147,"atlantic beach","atlantic beach","micro","NC","US"
184262,"atlantic beach","atlantic beach","micro","FL","US"
259762,"atlantic beach","atlantic beach","micro","SC","US"
184307,"atlantic boulevard estates","atlantic boulevard estates","micro","FL","US"
190974,"atlantic city","atlantic city","macro","NJ","US"
193669,"atlantic gardens","atlantic gardens","micro","FL","US"
184244,"atlantic highlands","atlantic highlands","micro","FL","US"
190831,"atlantic highlands","atlantic highlands","micro","NJ","US"
347136,"atlantic station","atlantic station","micro","GA","US"
193453,"atlantis","atlantis","micro","FL","US"
234420,"atlas","atlas","micro","PA","US"
266303,"atlas circle","atlas circle","micro","GA","US"
186061,"atlas peak","atlas peak","micro","CA","US"
242604,"atlasburg","atlasburg","micro","PA","US"
826,"atoka","atoka county","county","OK","US"
3115,"attala","attala county","county","MS","US"
307535,"atteam","atteam","micro","ME","US"
162153,"atterberry","atterberry","micro","IL","US"
162184,"atterberry","atterberry","macro","IL","US"
166681,"attica","attica","macro","KS","US"
232769,"attica","greater attica","micro","NY","US"
166759,"attica","attica","superm","KS","US"
305240,"attica","greater attica","micro","OH","US"
209856,"attica","attica","micro","MI","US"
209877,"attica","greater attica","micro","MI","US"
232762,"attica","attica","micro","NY","US"
305250,"attica","attica","micro","OH","US"
305258,"attica junction","attica junction","micro","OH","US"
134027,"attleboro","attleboro","micro","MA","US"
134057,"attleboro","attleboro","macro","MA","US"
134060,"attleboro","attleboro","superm","MA","US"
202922,"atwater","atwater ccd","macro","CA","US"
354161,"atwater","greater atwater","micro","IL","US"
354160,"atwater","atwater","micro","IL","US"
193033,"atwater","atwater","micro","OH","US"
202907,"atwater","atwater","micro","CA","US"
193053,"atwater - suffield","atwater - suffield","macro","OH","US"
180182,"atwater village","atwater village","micro","CA","US"
209699,"atwood","atwood","micro","MI","US"
205765,"atwood","atwood","micro","PA","US"
345963,"atwood","atwood","micro","IL","US"
265094,"atwood acres","atwood acres","micro","NC","US"
306980,"atwood village","atwood village","micro","OH","US"
242723,"au sable forks","greater au sable forks","micro","NY","US"
242694,"au sable forks","au sable forks","micro","NY","US"
201831,"auberry","auberry","micro","CA","US"
198673,"aubrey","greater aubrey","micro","TX","US"
198717,"aubrey","aubrey","micro","TX","US"
198664,"aubrey - little elm","aubrey - little elm","macro","TX","US"
174281,"aubry","aubry","macro","KS","US"
174312,"aubry","aubry","superm","KS","US"
174232,"aubry","aubry","micro","KS","US"
207972,"auburn","auburn","micro","CA","US"
184007,"auburn","auburn","macro","WA","US"
128521,"auburn","auburn","superm","MA","US"
342641,"auburn","auburn","micro","IL","US"
207999,"auburn","greater auburn","micro","CA","US"
306478,"auburn","auburn","micro","ME","US"
163210,"auburn","auburn","micro","RI","US"
128424,"auburn","auburn","macro","MA","US"
241474,"auburn","auburn","micro","MI","US"
208033,"auburn","auburn ccd","macro","CA","US"
260288,"auburn","auburn","micro","NJ","US"
231122,"auburn","auburn","micro","NY","US"
192909,"auburn","auburn","micro","OH","US"
264385,"auburn","auburn","micro","NC","US"
